,hh_size,hh_dependency_ratio,age_manager,hh_primary_education,hh_formal_education,farm_size,farm_work,livestock,inorganic_fertilizer,fertilizer_per_ha,yield_kg_ha,yield_stability,yield_per_ha,rainfall_mm,soil_quality_index,soil_npk,drought_risk,climate_stress_index,crop_health_index,tx_frequency,total_volume,avg_transaction,input_purchase_ratio,cashflow_volatility,balance_stability,fraud_rate,input_efficiency,climate_risk_score,hh_shock,drought_shock,dist_market,country,main_crop_clean
0,13.0,0.3000000119209289,44.4,1.0,1.0,3.1039416790008545,1.0,0.0,0.0,0.0,3247.77783302678,0.7729850335351061,3247.77783302678,628.7909417406288,0.697131785664211,64.82456029539142,0.2633194707291725,0.4887950355416615,0.7764960011871903,11.0,812620.77,73874.61545454546,1.0,3.107011774280244,49658815.42471821,0.6363636363636364,0.0,0.2375156377974621,1.0,0.0,60.70000076293945,Tanzania,OTHER
1,4.0,1.0,81.0,1.0,1.0,3.6583614349365225,0.0,0.0,0.0,0.0,3008.070182308937,0.6451949596751273,3008.070182308937,664.9969586535374,0.6678888686327338,53.10721692647856,0.3090133731062653,0.4641936633680644,0.7874223558558316,15.0,236761.52,15784.101333333334,1.0,1.592170789724273,27056286.03717705,0.7333333333333333,0.0,0.2581481657752503,1.0,0.1666666666666666,60.70000076293945,Tanzania,OTHER
2,4.0,3.0,72.0,1.0,1.0,1.2100111246109009,1.0,0.0,0.0,0.0,2804.634292228456,0.6921921643772463,2804.634292228456,590.8373128537213,0.7165424363523936,54.44419887372054,0.2004417741517115,0.3563957637813784,0.7096631227898508,4.0,18262.37,4565.5925,1.0,1.8145329875510343,118563528.54303844,0.25,0.0,0.1768463634946161,0.0,0.0,60.70000076293945,Tanzania,MAIZE
3,2.0,1.0,31.0,0.0,1.0,3.354846715927124,1.0,0.0,0.0,0.0,2251.054125687731,0.6284892120914811,2251.054125687731,698.484988524833,0.7119130210925451,35.648423102017375,0.2578265817315014,0.4632524201663432,0.7693516388571439,1.0,581.49,581.49,1.0,0.0,29339507.0522982,0.0,0.0,0.3198164161159899,0.0,0.0,60.70000076293945,Tanzania,TUBERS_ROOT
4,3.0,0.5,38.0,0.0,1.0,6.689459323883057,1.0,0.0,0.0,0.0,2665.688355304078,0.5805223775699343,2665.688355304078,674.6956206546291,0.5609715522396856,72.63341033158406,0.2698584944036439,0.507110783978193,0.7526054347689017,5.0,37759.36,7551.872,1.0,1.3006287490347257,28874473.179268483,0.6,0.0,0.2267422958029666,0.0,0.0,60.70000076293945,Tanzania,TUBERS_ROOT
5,5.0,0.25,60.0,0.0,1.0,2.4476022720336914,1.0,0.0,0.0,0.0,2480.2403448432497,0.7098375419257156,2480.2403448432497,635.3899564378708,0.7059655012152599,59.78286925129426,0.2047362044773777,0.4497987078593425,0.7727335614703076,3.0,18017.28,6005.759999999998,1.0,1.5672787372204005,85856606.34242411,0.3333333333333332,0.0,0.1992137827156309,1.0,0.0,60.70000076293945,Tanzania,MAIZE
6,9.0,3.5,42.0,0.0,1.0,0.9671995639801024,1.0,0.0,0.0,0.0,2852.465627673818,0.6328404854663543,2852.465627673818,714.4434375230963,0.5931493372798556,57.67762741142154,0.2054505468814534,0.3724201001387455,0.7384957939837529,2.0,87.61000000000001,43.80500000000001,1.0,0.2375171756914973,0.0,1.0,0.0,0.1711301386112314,1.0,0.0,60.70000076293945,Tanzania,OTHER
7,4.0,0.3333333432674408,50.0,1.0,1.0,13.516511917114258,1.0,0.0,0.0,0.0,2958.9975229020047,0.7198349062910308,2958.9975229020047,674.4994421216289,0.6699087486304244,55.598379149668894,0.2811405311998409,0.474632748004402,0.7066148803229905,47.0,557829.77,11868.7185106383,1.0,2.3401773034250453,44864766.497698896,0.5106382978723404,0.0,0.2125911320769274,1.0,0.0,60.70000076293945,Tanzania,LEGUMES
8,3.0,0.5,32.0,1.0,1.0,0.3682642579078674,0.0,0.0,0.0,0.0,2344.6076945520763,0.8531967987262731,2344.6076945520763,638.0516517607161,0.5373866393268769,60.83498026903712,0.3160698296116435,0.3846704940325449,0.6148583301097992,1.0,16945.23,16945.23,1.0,0.0,29339507.0522982,0.0,0.0,0.2708254803575772,0.0,0.0,60.70000076293945,Tanzania,OTHER
9,7.0,0.75,67.0,1.0,1.0,0.8255594372749329,1.0,0.0,0.0,0.0,2035.7904771909907,0.5722187987179777,2035.7904771909907,778.7610725064976,0.638828302035789,36.468667276861325,0.3968133310478641,0.4173381116907438,0.7125821042904021,1.0,56.53,56.53,1.0,0.0,29339507.0522982,1.0,0.0,0.389939645282734,1.0,0.0,60.70000076293945,Tanzania,OTHER
